index,model_name,vocab_size,max_seq_length,to_lower,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
65,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.9710414,72.425544,0.9089203000000001,73.86085999999999,0.995985,71.745956,0.7187346738597352,0.7187346738597352,0.7187346738597352,0.3892131283026381,0.26866402959525965,0.3892131283026381,0.6922609134206497,0.7187346738597352,0.6856902458427151
66,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.9647601999999998,72.73863,0.91512483,74.34956,0.97837406,71.421593,0.7157920549288868,0.7157920549288868,0.7157920549288868,0.270485896894243,0.2411002826000713,0.270485896894243,0.6653147755063404,0.7157920549288868,0.6782662111364829
67,rcnn,10000,128,False,True,50,glove,glove.6B.50d,1.0157603000000002,72.37465999999999,0.96596545,73.86179,1.004912,71.68317400000001,0.7187346738597352,0.7187346738597352,0.7187346738597352,0.2793356150019839,0.2597577207588274,0.2793356150019839,0.6675166409899841,0.7187346738597352,0.6834380024986897
68,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.95807964,72.81357,0.9023443000000001,74.542105,0.95477414,71.268135,0.7145659637076999,0.7145659637076999,0.7145659637076999,0.33631358031249864,0.25044112910213856,0.33631358031249864,0.6662939128435398,0.7145659637076999,0.6764590485778802
69,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.96523196,72.77445999999999,0.92276067,74.51433,0.9826428,71.05538,0.7121137812653261,0.7121137812653261,0.712113781265326,0.29535851301659194,0.2500493371236681,0.29535851301659194,0.665380616540208,0.7121137812653261,0.6750767962877611
70,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.96819717,72.660214,0.9190708000000001,73.880464,0.99270636,72.569054,0.7273173124080432,0.7273173124080432,0.7273173124080432,0.3807872809004614,0.26856526374184103,0.3807872809004614,0.6908610227213271,0.7273173124080432,0.6917060935719809
71,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.94654155,73.06925,0.8906318999999999,74.65693,0.93741274,72.436523,0.7253555664541442,0.7253555664541442,0.7253555664541442,0.35046321109967,0.2733346371217773,0.35046321109967,0.6847759618292893,0.7253555664541442,0.6929832280198062
72,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9577921,72.954094,0.89842385,74.3624,0.96099585,71.372765,0.715301618440412,0.715301618440412,0.715301618440412,0.364424850156508,0.2579947443911519,0.364424850156508,0.6782578228973339,0.715301618440412,0.6764657119024471
73,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.95184183,72.901803,0.888755,74.59625,0.9582886,71.64132,0.7179990191270229,0.7179990191270229,0.7179990191270229,0.3456939375128314,0.2677456118308994,0.3456939375128314,0.672266453666331,0.7179990191270229,0.6817568313219524
74,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9444824,73.01084,0.8796738000000002,74.627286,0.9610996999999999,71.299523,0.7145659637076999,0.7145659637076999,0.7145659637076999,0.3639820043610669,0.2712749728167361,0.3639820043610669,0.6677451756806916,0.7145659637076999,0.6791165971299962
75,rcnn,10000,128,True,True,50,glove,glove.6B.50d,1.0227517,72.590667,0.9448353999999999,74.247104,0.93609506,72.17843,0.7233938205002453,0.7233938205002453,0.7233938205002454,0.30731266974417154,0.2776401776401234,0.30731266974417154,0.6782606172299774,0.7233938205002453,0.6894658968457973
76,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9479788,72.97726,0.8647289,74.963826,0.9680549,71.665734,0.7182442373712604,0.7182442373712604,0.7182442373712604,0.3392448939158683,0.2638938754110607,0.3392448939158683,0.6743982030243971,0.7182442373712604,0.6795228906529838
77,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9520622999999999,72.91043,0.88633853,74.33859000000001,0.966108,71.56808000000001,0.7172633643943109,0.7172633643943109,0.7172633643943109,0.3650590066279277,0.2920866881680901,0.3650590066279277,0.6828810601057774,0.7172633643943109,0.6800221751416692
78,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9480666999999999,73.20426,0.9043237,74.59158000000001,0.9290825999999999,72.34933000000001,0.7251103482099068,0.7251103482099068,0.7251103482099069,0.36366083495641854,0.2616745384247328,0.36366083495641854,0.6802002809328749,0.7251103482099068,0.6906058543366808
79,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.94688964,73.167735,0.8931133,74.33509000000001,0.9240854,72.154015,0.7231486022560079,0.7231486022560079,0.7231486022560077,0.35920035339278705,0.2611432669789312,0.35920035339278705,0.6847044904012012,0.7231486022560079,0.6843111737334008
80,lstm,10000,128,False,True,50,glove,glove.6B.50d,0.8767955,73.837113,0.83808416,74.90198,0.933531,72.90039,0.7300147130946543,0.7300147130946543,0.7300147130946544,0.3872974940007938,0.3060554009785097,0.3872974940007938,0.6927300755879593,0.7300147130946543,0.6994078428776019
81,lstm,10000,128,False,True,50,glove,glove.6B.50d,0.8641951999999999,74.10983,0.84352136,74.89380999999999,0.9456524,71.50879,0.716037273173124,0.716037273173124,0.716037273173124,0.3665317867256031,0.29640647059360586,0.3665317867256031,0.6884653750895221,0.716037273173124,0.6824254811048027
82,lstm,10000,128,False,True,50,glove,glove.6B.50d,0.8726925,73.892826,0.8494191999999999,74.57548,0.9609075,72.14704,0.7233938205002453,0.7233938205002453,0.7233938205002454,0.3381531160275364,0.2723533452804912,0.3381531160275364,0.6844342123431679,0.7233938205002453,0.6912311195992078
83,lstm,10000,128,False,True,50,glove,glove.6B.50d,0.87474966,74.000686,0.84550905,74.83593,0.96270174,72.91783000000001,0.730505149583129,0.730505149583129,0.7305051495831288,0.3413897495997143,0.2892252309396273,0.3413897495997143,0.6878593176473203,0.730505149583129,0.7021999578160225
84,lstm,10000,128,False,True,50,glove,glove.6B.50d,0.8725690999999999,73.90435000000001,0.8400665999999999,74.926716,0.93485117,72.42954999999999,0.7256007846983815,0.7256007846983815,0.7256007846983815,0.3616997286759564,0.2852549906069375,0.3616997286759564,0.6875032252868729,0.7256007846983815,0.6884771100240199
